Date,Open,High,Low,Close,AdjClose,Volume,SMA_20,Upper_Band,Lower_Band,MACD,MACD_Signal,RSI,Risk_Level
2020-07-02,485.6400146,492.2799988,475.5299988,476.8900146,476.8900146,6351500,446.525502,486.2921564,406.7588476,11.34503668,8.747052656,62.38524087,High
2020-07-06,480.769989,499.5,479.7999878,493.8099976,493.8099976,7839000,450.2360016,493.1485745,407.3234286,13.3204777,9.661737665,66.94840373,High
2020-07-07,497.3099976,504.8200073,490.8299866,493.1600037,493.1600037,5669900,453.9195023,498.340601,409.4984035,14.66453622,10.66229738,66.61407957,High
2020-07-08,498.5799866,505.1000061,493.8099976,502.7799988,502.7799988,5691700,457.3560028,505.7604858,408.9515199,16.31786331,11.79341056,69.07547203,High
2020-07-09,508.3999939,510,495.7799988,507.7600098,507.7600098,5840500,461.0200027,513.0887354,408.9512701,17.82451233,12.99963092,70.29633706,High
2020-07-10,519.7299805,555.8800049,511.2799988,548.7299805,548.7299805,21605600,467.1785019,529.6791332,404.6778706,22.07006678,14.81371809,77.99356442,High
2020-07-13,567.9799805,575.3699951,520.960022,525.5,525.5,18399000,472.5500015,535.7418649,409.3581382,23.29174129,16.50932273,67.33850975,High
2020-07-14,517.0800171,525.5,490.4899902,524.8800049,524.8800049,15083300,477.5190018,540.7623287,414.2756748,23.93400243,17.99425867,67.0751299,High
2020-07-15,516.2999878,529,510.1799927,523.2600098,523.2600098,10066700,481.875502,545.118178,418.6328261,24.03521594,19.20245012,66.3449381,High
2020-07-16,526.4799805,535.539978,504.3599854,527.3900146,527.3900146,24499000,485.8565033,550.0760096,421.636997,24.17006776,20.19597365,67.32162951,High
2020-07-17,494.8699951,503.5899963,484.1400146,492.9899902,492.9899902,24991400,488.0125031,550.001602,426.0234041,21.25611703,20.40800233,53.41649405,Medium
2020-07-20,489.1400146,504.5,484.2000122,502.4100037,502.4100037,11940300,490.4470032,550.5615542,430.3324522,19.48232631,20.22286712,56.09104665,Medium
2020-07-21,506,506.2200012,488.6099854,490.1000061,490.1000061,9113700,491.5500031,550.7358321,432.364174,16.88858932,19.55601156,51.89772281,Medium
2020-07-22,492.1900024,497.2000122,487.2000122,489.8200073,489.8200073,6954100,492.7280029,550.7202468,434.735759,14.64166056,18.57314136,51.80285881,Medium
2020-07-23,491.1300049,491.8999939,472.019989,477.5799866,477.5799866,7722000,493.714502,549.8501474,437.5788565,11.73797784,17.20610866,47.69829776,Medium
2020-07-24,468.769989,487.1700134,467.5400085,480.4500122,480.4500122,7746200,494.4415024,549.425781,439.4572237,9.558194537,15.67652583,48.72421798,Medium
2020-07-27,484.5100098,496.9200134,482.3099976,495.6499939,495.6499939,7863100,497.0540024,546.5147971,447.5932077,8.953995962,14.33201986,53.88357275,Medium
2020-07-28,496.019989,497.7900085,487.7600098,488.5100098,488.5100098,5986700,499.1175034,542.9513086,455.2836981,7.809009786,13.02741785,51.2737155,Medium
2020-07-29,492.25,494.9200134,484.1300049,484.480011,484.480011,6611800,500.5895035,539.9388343,461.2401726,6.501467896,11.72222786,49.80733713,Medium
2020-07-30,480.7099915,488.3500061,477.5100098,485.7999878,485.7999878,6608600,500.5975021,539.9341009,461.2609034,5.508246982,10.47943168,50.30861488,Medium
